"""Discount Amount"" (Y) must not exceed ""Discount Qty Step"" (X), or no discount will apply.","""Importe del descuento"" (Y) no debe superar el ""Paso de cantidad del descuento"" (X), o no se aplicará ningún descuento."
"+ New Campaign","+ Nueva campaña"
"Abandoned Cart Recovery","Recuperación de carrito abandonado"
"Action","Acción"
"Actions","Acciones"
"Actions (run in order)","Acciones (se ejecutan en orden)"
"Add Action","Añadir acción"
"Add Condition","Añadir condición"
"Add New Campaign","Añadir nueva campaña"
"Add New Content Block","Añadir nuevo bloque de contenido"
"Add New Free Gift Offer","Añadir nueva oferta de regalo"
"Add New Score Rule","Añadir nueva regla de puntuación"
"Add New Segment","Añadir nuevo segmento"
"Add Points","Añadir puntos"
"Add SKU","Añadir SKU"
"Add Tag","Añadir etiqueta"
"Add Tier","Añadir nivel"
"Add Trigger","Añadir disparador"
"Apply flow to form & Save","Aplicar flujo al formulario y guardar"
"Are you sure you want to delete this %1?","¿Seguro que quieres eliminar %1?"
"Are you sure you want to delete this campaign?","¿Seguro que quieres eliminar esta campaña?"
"Are you sure you want to delete this content block?","¿Seguro que quieres eliminar este bloque de contenido?"
"Are you sure you want to delete this free gift offer?","¿Seguro que quieres eliminar esta oferta de regalo?"
"Are you sure you want to delete this score rule?","¿Seguro que quieres eliminar esta regla de puntuación?"
"Are you sure you want to delete this segment?","¿Seguro que quieres eliminar este segmento?"
"Assigned Sales Rep — Email","Representante de ventas asignado — Email"
"Assigned Sales Rep — Name","Representante de ventas asignado — Nombre"
"Assigned Sales Rep — Phone","Representante de ventas asignado — Teléfono"
"Attribute","Atributo"
"Attribute Code","Código de atributo"
"Avg. Interval (days)","Intervalo medio (días)"
"B2C Lifecycle Emails (Welcome / Win-back)","Emails de ciclo de vida B2C (bienvenida / recuperación)"
"Back","Volver"
"Block Checkout When Over Credit Limit","Bloquear checkout al superar el límite de crédito"
"Build and manage automation campaigns","Crea y gestiona campañas de automatización"
"Bulk actions on current members","Acciones masivas sobre los miembros actuales"
"Buy %1, get %2 free — customers pay for %1 out of every %3 (%4% off that batch).","Compra %1, llévate %2 gratis — el cliente paga %1 de cada %3 (%4% de descuento en ese lote)."
"CTA button URL","URL del botón CTA"
"CTA button label","Etiqueta del botón CTA"
"Call-to-action button URL","URL del botón de llamada a la acción"
"Call-to-action button label","Etiqueta del botón de llamada a la acción"
"Campaign Information","Información de la campaña"
"Campaign action with id ""%1"" does not exist.","La acción de campaña con id ""%1"" no existe."
"Campaign condition with id ""%1"" does not exist.","La condición de campaña con id ""%1"" no existe."
"Campaign trigger with id ""%1"" does not exist.","El disparador de campaña con id ""%1"" no existe."
"Campaign with id ""%1"" does not exist.","La campaña con id ""%1"" no existe."
"Campaigns","Campañas"
"Campaigns by trigger","Campañas por disparador"
"Can be negative (a penalty rule).","Puede ser negativo (regla de penalización)."
"Can be negative to subtract points when this rule matches","Puede ser negativo para restar puntos cuando esta regla coincide"
"Cart Abandoned","Carrito abandonado"
"Cart Price Rule","Regla de precio de carrito"
"Cart Price Rule ID","ID de regla de precio de carrito"
"Cart price rule ID","ID de regla de precio de carrito"
"Cart with id ""%1"" does not exist.","El carrito con id ""%1"" no existe."
"Cascading tiers — every tier the cart subtotal reaches ADDS its gift slots, cumulative","Niveles en cascada — cada nivel que alcanza el subtotal del carrito AÑADE sus plazas de regalo, de forma acumulativa"
"Category","Categoría"
"Category ID","ID de categoría"
"Cheapest item in qualifying set free (Ordo Automation)","El artículo más barato del conjunto elegible gratis (Ordo Automation)"
"Condition","Condición"
"Conditions","Condiciones"
"Conditions (all must match — AND)","Condiciones (todas deben cumplirse — AND)"
"Conditions (all must pass — AND)","Condiciones (todas deben cumplirse — AND)"
"Configuration","Configuración"
"Contains","Contiene"
"Content Block Information","Información del bloque de contenido"
"Content Blocks","Bloques de contenido"
"Content block","Bloque de contenido"
"Content block not found.","Bloque de contenido no encontrado."
"Could not add gift ""%1"" to the cart: %2","No se pudo añadir el regalo ""%1"" al carrito: %2"
"Could not delete the campaign action: %1","No se pudo eliminar la acción de campaña: %1"
"Could not delete the campaign condition: %1","No se pudo eliminar la condición de campaña: %1"
"Could not delete the campaign trigger: %1","No se pudo eliminar el disparador de campaña: %1"
"Could not delete the campaign: %1","No se pudo eliminar la campaña: %1"
"Could not delete the content block: %1","No se pudo eliminar el bloque de contenido: %1"
"Could not delete the free gift offer: %1","No se pudo eliminar la oferta de regalo: %1"
"Could not delete the free gift product: %1","No se pudo eliminar el producto de regalo: %1"
"Could not delete the free gift tier: %1","No se pudo eliminar el nivel de regalo: %1"
"Could not delete the offer: %1","No se pudo eliminar la oferta: %1"
"Could not delete the score rule: %1","No se pudo eliminar la regla de puntuación: %1"
"Could not delete the segment: %1","No se pudo eliminar el segmento: %1"
"Could not save the campaign action: %1","No se pudo guardar la acción de campaña: %1"
"Could not save the campaign condition: %1","No se pudo guardar la condición de campaña: %1"
"Could not save the campaign trigger: %1","No se pudo guardar el disparador de campaña: %1"
"Could not save the campaign: %1","No se pudo guardar la campaña: %1"
"Could not save the content block: %1","No se pudo guardar el bloque de contenido: %1"
"Could not save the free gift offer: %1","No se pudo guardar la oferta de regalo: %1"
"Could not save the free gift product: %1","No se pudo guardar el producto de regalo: %1"
"Could not save the free gift tier: %1","No se pudo guardar el nivel de regalo: %1"
"Could not save the offer: %1","No se pudo guardar la oferta: %1"
"Could not save the score rule: %1","No se pudo guardar la regla de puntuación: %1"
"Could not save the segment: %1","No se pudo guardar el segmento: %1"
"Coupon code prefix","Prefijo del código de cupón"
"Created","Creado"
"Credit Limit","Límite de crédito"
"Credit Limit Alert","Alerta de límite de crédito"
"Customer ID","ID de cliente"
"Customer Registered","Cliente registrado"
"Dashboard","Panel"
"Days Since Last Order","Días desde el último pedido"
"Days added per self-extension","Días añadidos por autoextensión"
"Delay (minutes)","Retraso (minutos)"
"Delete","Eliminar"
"Delete %1 ""%2""","Eliminar %1 ""%2"""
"Delete raw events older than this many days","Eliminar eventos en bruto con más de esta cantidad de días"
"Demographic-attribute lead scoring rules","Reglas de puntuación de leads por atributos demográficos"
"Diagnostic view of detected reorder patterns","Vista de diagnóstico de patrones de recompra detectados"
"Disabled","Deshabilitado"
"Drag a block from the palette onto the canvas, then drag from the small dot on the right edge of one node to the dot on the left edge of the next to connect them. A campaign can start from more than one trigger — every one of them must lead all the way through to an Action before you can save. Then ""Apply flow to form & Save"" writes the graph into the form below and saves through the same action the Save button uses.","Arrastra un bloque desde la paleta al lienzo y, después, arrastra desde el pequeño punto del borde derecho de un nodo hasta el punto del borde izquierdo del siguiente para conectarlos. Una campaña puede empezar con más de un disparador — todos ellos deben llegar hasta una Acción antes de poder guardar. Después, ""Aplicar flujo al formulario y guardar"" escribe el gráfico en el formulario de abajo y guarda mediante la misma acción que usa el botón Guardar."
"Edit","Editar"
"Edit Campaign ""%1""","Editar campaña ""%1"""
"Edit Content Block ""%1""","Editar bloque de contenido ""%1"""
"Edit Free Gift Offer ""%1""","Editar oferta de regalo ""%1"""
"Edit Score Rule ""%1""","Editar regla de puntuación ""%1"""
"Edit Segment ""%1""","Editar segmento ""%1"""
"Email","Email"
"Email template identifier","Identificador de plantilla de email"
"Enable on-site popups","Activar popups en el sitio"
"Enabled","Habilitado"
"Enter ""Discount Qty Step (Buy X)"" and ""Discount Amount"" (as Y, free qty) to see a preview.","Introduce ""Paso de cantidad del descuento (Compra X)"" y ""Importe del descuento"" (como Y, cantidad gratis) para ver una vista previa."
"Equals","Es igual a"
"Escalate (resend) if not decided within this many days","Escalar (reenviar) si no se decide en esta cantidad de días"
"Expires","Caduca"
"Extend by %1 day(s)","Extender %1 día(s)"
"F Quintile","Quintil F"
"Feed URL","URL del feed"
"Feed refreshed.","Feed actualizado."
"First Name","Nombre"
"Flow","Flujo"
"Free Gift Above Threshold","Regalo por encima de un umbral"
"Free Gift Offer Information","Información de la oferta de regalo"
"Free Gift Offers","Ofertas de regalo"
"Free gift offer with id ""%1"" does not exist.","La oferta de regalo con id ""%1"" no existe."
"Free gift offers","Ofertas de regalo"
"Free gift product with id ""%1"" does not exist.","El producto de regalo con id ""%1"" no existe."
"Free gift tier with id ""%1"" does not exist.","El nivel de regalo con id ""%1"" no existe."
"General","General"
"Gift pool — SKUs a customer may pick from once eligible","Bolsa de regalos — SKUs que el cliente puede elegir una vez que es elegible"
"Gift slots this tier adds","Plazas de regalo que añade este nivel"
"HTML","HTML"
"HTML Snippet","Fragmento HTML"
"Hard-blocks order placement for a logged-in customer whose credit limit utilization has reached 100%. Disabled by default — separate opt-in from the warning email above.","Bloquea por completo la creación de pedidos de un cliente con sesión iniciada cuyo uso del límite de crédito ha llegado al 100%. Deshabilitado por defecto — se activa por separado del email de aviso anterior."
"How many feed items to include","Cuántos elementos del feed incluir"
"How many products to include","Cuántos productos incluir"
"ID","ID"
"Identifier","Identificador"
"Invalid bulk action type.","Tipo de acción masiva no válido."
"Invalid offer.","Oferta no válida."
"Invalid or already-used approval token.","Token de aprobación no válido o ya utilizado."
"Invalid segment.","Segmento no válido."
"Item Count","Número de elementos"
"Last Name","Apellidos"
"Last Order","Último pedido"
"Last Recalculated","Último recálculo"
"Lead Scoring","Puntuación de leads"
"Leave blank if you filled in Tag / Minimum order total / Minimum score above.","Déjalo en blanco si has rellenado arriba Etiqueta / Total mínimo del pedido / Puntuación mínima."
"Leave blank if you filled in one of the dedicated fields above.","Déjalo en blanco si has rellenado uno de los campos dedicados de arriba."
"M Quintile","Quintil M"
"Manage cascading-tier gift offers and their gift pools","Gestiona ofertas de regalo con niveles en cascada y sus bolsas de regalos"
"Maximum reminders per cart","Máximo de recordatorios por carrito"
"Maximum times a customer can self-extend an offer","Número máximo de veces que un cliente puede autoextender una oferta"
"Message","Mensaje"
"Minimum cart subtotal","Subtotal mínimo del carrito"
"Minimum cart subtotal to trigger a reminder","Subtotal mínimo del carrito para activar un recordatorio"
"Minimum days between repeated alerts for the same threshold","Días mínimos entre alertas repetidas para el mismo umbral"
"Minimum order total","Total mínimo del pedido"
"Minimum orders to detect a pattern","Pedidos mínimos para detectar un patrón"
"Minimum score","Puntuación mínima"
"Minimum time between two popups shown to the same visitor/customer. 0 disables the cap.","Tiempo mínimo entre dos popups mostrados al mismo visitante/cliente. 0 desactiva el límite."
"Missing campaign id.","Falta el id de la campaña."
"Missing content block id.","Falta el id del bloque de contenido."
"Missing free gift offer id.","Falta el id de la oferta de regalo."
"Missing score rule id.","Falta el id de la regla de puntuación."
"Missing segment id.","Falta el id del segmento."
"My Offers","Mis ofertas"
"Name","Nombre"
"New Campaign","Nueva campaña"
"New Content Block","Nuevo bloque de contenido"
"New Free Gift Offer","Nueva oferta de regalo"
"New Score Rule","Nueva regla de puntuación"
"New Segment","Nuevo segmento"
"Next Expected","Próximo esperado"
"No authenticated customer for this request.","No hay un cliente autenticado para esta solicitud."
"No campaigns yet — create one to get started.","Todavía no hay campañas — crea una para empezar."
"No customers currently match this segment.","Actualmente ningún cliente coincide con este segmento."
